FIRST NAME,LAST NAME,SEASON,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,HOMETOWN CITY,LAT,LONG,HOMETOWN STATE,STATE ABR
Jill,Witmer,Summer,F,Field Hockey,Striker,none,5'2',116,10/1/91,Lancaster,40.0421,-76.3012,Pa.,PA
Rickie,Fowler,Summer,M,Golf,,none,"5'9""",150,12/13/88,Murrieta,33.572,-117.1909,Calif.,CA
Matt,Kuchar,Summer,M,Golf,,none,"6'4""",190,6/21/78,Sea Island,#N/A,#N/A,Ga. ,GA
Patrick,Reed,Summer,M,Golf,,none,"6'0""",200,8/5/90,Houston,29.7863,-95.3889,Texas,TX
Bubba,Watson,Summer,M,Golf,,none,"6'3""",180,11/5/78,Bagdad,30.5824,-87.0447,Fla. ,FL
Stacy,Lewis,Summer,F,Golf,,none,"5'5""",133,2/16/85,The Woodlands,30.1738,-95.5134,Texas,TX
Gerina,Piller,Summer,F,Golf,,none,"5'7""",142,3/29/85,Roswell,34.0391,-84.3513,N.M.,NM
Lexi,Thompson,Summer,F,Golf,,none,"5'11""",160,2/10/95,Coral Springs,26.2702,-80.2591,Fla. ,FL
Chris,Brooks,Summer,M,Gymnastics,Artistic – Team ,none,"5'8""",165,12/19/86,Houston,29.7863,-95.3889,Texas,TX
Jake,Dalton,Summer,M,Gymnastics,Artistic – Team ,2012-5th,"5'5""",150,7/22/91,Sparks,39.5729,-119.7157,Nev.,NV
Sam,Mikulak,Summer,M,Gymnastics,Artistic – Team ,2012,"5'5""",140,10/13/92,Newport Beach,33.6151,-117.8669,Calif.,CA
Alex,Naddour,Summer,M,Gymnastics,Artistic – Team ,none,"5'7""",155,3/4/91,Gilbert,33.3101,-111.7463,Ariz.,AZ
Danell,Leyva,Summer,M,Gymnastics,Artistic – Team ,"2012-B, 5th","5'7""",150,10/30/91,Homestead,25.4665,-80.4472,Fla. ,FL
Simone,Biles,Summer,F,Gymnastics,Artistic – Team ,none,"4'8""",115,3/14/97,Spring,30.0613,-95.383,Texas,TX
Gabby,Douglas,Summer,F,Gymnastics,Artistic – Team ,"2012-2G, 7th, 8th","5'2""",110,12/31/95,Los Angeles,34.1139,-118.4068,Calif.,CA
Laurie,Hernandez,Summer,F,Gymnastics,Artistic – Team ,none,"5'0""",107,6/9/00,Old Bridge,#N/A,#N/A,N.J.,NJ
Madison,Kocian,Summer,F,Gymnastics,Artistic – Team ,none,"5'2""",102,6/15/97,Dallas,32.7936,-96.7662,Texas,TX
Aly,Raisman,Summer,F,Gymnastics,Artistic – Team ,"2012-2G, 1B","5'2""",115,5/25/94,Needham,31.987,-88.3366,Mass.,MA
Natalie,McGiffert,Summer,F,Gymnastics,Rhythmic group,none,"5'3""",97,3/14/97,Topanga,34.0964,-118.6053,Calif.,CA
Kiana,Eide,Summer,F,Gymnastics,Rhythmic group,none,5'3,118,9/25/98,St. Francis,42.9716,-87.8729,Minn.,MN
Alisa,Kano,Summer,F,Gymnastics,Rhythmic group,none,"5'4""",105,11/7/94,New York,40.6943,-73.9249,N.Y.,NY
Monica,Rokhman,Summer,F,Gymnastics,Rhythmic group,none,"5'8""",123,5/27/97,Northbrook,42.1292,-87.8353,Ill.,IL
Kristen,Shaldybin,Summer,F,Gymnastics,Rhythmic group,none,"5'9""",125,8/8/97,Brooklyn,40.6501,-73.9496,N.Y.,NY
Laura,Zeng,Summer,F,Gymnastics,Rhythmic individual ,none,"5'3""",95,10/14/99,Libertyville,42.287,-87.967,Ill.,IL
Logan,Dooley,Summer,M,Gymnastics,Trampoline ,none,"5'9""",130,9/26/87,Lake Forest,33.6606,-117.6712,Calif.,CA
Nicole,Ahsinger,Summer,F,Gymnastics,Trampoline ,none,"5'4""",128,5/12/98,San Diego,27.7609,-98.2389,Calif.,CA
Colton,Brown,Summer,M,Judo,90 kg.,none,"6'0""",200,10/8/91,Piscataway,#N/A,#N/A,N.J.,NJ
Nick,Delpopolo,Summer,M,Judo,73 kg.,2012,"5'8""",170,2/8/89,Davie,26.0789,-80.287,Fla. ,FL
Travis,Stevens,Summer,M,Judo,81 kg.,2008; 2012,"5'11""",178,2/28/86,Tacoma,47.2431,-122.4531,Wash.,WA
Angelica,Delgado,Summer,F,Judo,52 kg.,none,"5'3""",115,12/14/90,Miami,25.7839,-80.2102,Fla. ,FL
Kayla,Harrison,Summer,F,Judo,78 kg.,2012-G,"5'8""",165,7/2/90,Middletown,39.5032,-84.366,Ohio,OH
Marti,Malloy,Summer,F,Judo,57 kg.,2012-B,"5'3""",130,6/23/86,Oak Harbor,48.2965,-122.6333,Wash.,WA
Nathan,Schrimsher,Summer,M,Pentathlon,Men's,none,"6'2""",174,5/22/92,Roswell,34.0391,-84.3513,N.M.,NM
Isabella,Isaksen,Summer,F,Pentathlon,Women's,none,"5'8""",139,11/22/93,Fayetteville,36.0713,-94.166,Ark.,AR
Margaux,Isaksen,Summer,F,Pentathlon,Women's,2008; 2012,"5'10""",134,10/7/91,Fayetteville,36.0713,-94.166,Ark.,AR
Nareg,Guregian,Summer,M,Rowing ,Men's Pair,none,"6'5""",215,1/20/89,North Hills,40.7765,-73.6778,Calif.,CA
Anders,Weiss,Summer,M,Rowing ,Men's Pair,none,"6'5""",205,11/5/92,Barrington,42.1515,-88.1281,R.I.,RI
Andrew,"Campbell, Jr.",Summer,M,Rowing ,Lightweight Men's Double Sculls,none,"5'10""",155,2/2/92,Cambridge,42.3759,-71.1185,Mass.,MA
Josh,Konieczny,Summer,M,Rowing ,Lightweight Men's Double Sculls,none,"5'11""",165,5/26/91,Millbury,41.5648,-83.4255,Ohio,OH
Anthony,Fahden,Summer,M,Rowing ,Lightweight Men's Four,2012,"5'11""",158,2/27/86,Lafayette,30.2084,-92.0323,Calif.,CA
Edward,King,Summer,M,Rowing ,Lightweight Men's Four,none,"6'4""",170,6/14/89,Ironton,38.5319,-82.6777,Mo.,MO
Tyler,Nase,Summer,M,Rowing ,Lightweight Men's Four,none,"6'0""",157,8/30/90,Phoenixville,40.1358,-75.5201,Pa.,PA
Robin,Prendes,Summer,M,Rowing ,Lightweight Men's Four,2012,"6'1""",160,12/13/88,Miami,25.7839,-80.2102,Fla. ,FL
Charlie,Cole,Summer,M,Rowing ,Men's Four,2012-B,"6'4""",200,6/21/86,New Canaan,#N/A,#N/A,Conn.,CT
Matt,Miller,Summer,M,Rowing ,Men's Four,none,"6'5""",217,1/13/89,Springfield,42.1155,-72.5395,Va.,VA
Henrik,Rummel,Summer,M,Rowing ,Men's Four,2012-B,"6'5""",215,9/26/87,Pittsford,#N/A,#N/A,N.Y.,NY
Seth,Weil,Summer,M,Rowing ,Men's Four,none,"6'6""",215,3/9/87,Menlo Park,37.4686,-122.1672,Calif.,CA
Michael,DiSanto,Summer,M,Rowing ,Men's Eight,none,"6'1""",200,12/10/89,Boston,42.3188,-71.0846,Mass.,MA
Sam,Dommer,Summer,M,Rowing ,Men's Eight,none,"6'2""",202,9/4/91,Folsom,38.6668,-121.1422,Calif.,CA
Austin,Hack,Summer,M,Rowing ,Men's Eight,none,"6'8""",220,5/17/92,Old Lyme,#N/A,#N/A,Conn.,CT
Alex,Karwoski,Summer,M,Rowing ,Men's Eight,none,"6'4""",200,9/16/90,Hollis,34.6895,-99.9153,N.H.,NH
Steve,Kasprzyk,Summer,M,Rowing ,Men's Eight,2012,"6'7""",229,2/14/82,Cinnaminson,#N/A,#N/A,N.J.,NJ
Rob,Munn,Summer,M,Rowing ,Men's Eight,none,"6'4""",215,7/26/90,Redmond,47.6762,-122.1169,Wash.,WA
Glenn,Ochal,Summer,M,Rowing ,Men's Eight,2012-B,"6'4""",210,3/1/86,Philadelphia,40.0077,-75.1339,Pa.,PA
Sam,Ojserkis,Summer,M,Rowing ,Men's Eight,none,"5'8""",122,3/24/90,Linwood,39.3436,-74.5708,N.J.,NJ
Hans,Struzyna,Summer,M,Rowing ,Men's Eight,none,"6'2""",200,3/31/89,Kirkland,47.6974,-122.2054,Wash.,WA
Grace,Luczak,Summer,F,Rowing ,Women's Pair,none,"6'3""",170,5/24/89,Ann Arbor,42.2755,-83.7312,Mich.,MI
Felice,Mueller,Summer,F,Rowing ,Women's Pair,none,"6'1""",160,10/15/89,Cleveland,41.4767,-81.6804,Ohio,OH
Gevvie,Stone,Summer,F,Rowing ,Women's Single Sculls,2012,"6'0""",157,7/11/85,Newton,42.3316,-71.2085,Mass.,MA
Kate,Bertko,Summer,F,Rowing ,Lightweight Women's Double Sculls,none,"5'9""",128,11/8/83,Oakland,37.7903,-122.2165,Calif.,CA
Devery,Karz,Summer,F,Rowing ,Lightweight Women's Double Sculls,none,"5'8""",130,2/18/88,Park City,40.6505,-111.502,Utah,UT
Meghan,O'Leary,Summer,F,Rowing ,Women's Double Sculls,none,"6'0""",162,8/24/84,Baton Rouge,30.4418,-91.131,La.,LA
Ellen,Tomek,Summer,F,Rowing ,Women's Double Sculls,2008,"5'10""",160,5/1/84,Flushing,43.0637,-83.8403,Mich.,MI
Tracy,Eisser,Summer,F,Rowing ,Women’s Quadruple Sculls,none,"6'1""",185,11/20/89,Fair Lawn,40.9359,-74.1177,N.J.,NJ
Megan,Kalmoe,Summer,F,Rowing ,Women’s Quadruple Sculls,2008; 2012-B,"5'10""",160,8/21/83,St. Croix Falls,45.41,-92.6268,Wis.,WI
Grace,Latz,Summer,F,Rowing ,Women’s Quadruple Sculls,none,"6'0""",175,2/21/88,Jackson,32.3163,-90.2124,Mich.,MI
Adrienne,Martelli,Summer,F,Rowing ,Women’s Quadruple Sculls,2012-B,"6'1""",170,12/3/87,University Place,47.2147,-122.5461,Wash.,WA
Amanda,Elmore,Summer,F,Rowing ,Women's Eight,none,"5'11""",175,3/13/91,West Lafayette,40.4432,-86.9239,Ind.,IN
Tessa,Gobbo,Summer,F,Rowing ,Women's Eight,none,"6'1""",180,12/8/90,Chesterfield,38.6588,-90.5804,N.H.,NH
Eleanor,Logan,Summer,F,Rowing ,Women's Eight,2008-G; 2012-G,"6'2""",190,12/27/87,Boothbay Harbor,#N/A,#N/A,Maine,ME
Meghan,Musnicki,Summer,F,Rowing ,Women's Eight,2012-G,"6'0""",163,2/5/83,Naples,26.1504,-81.7936,N.Y.,NY
Amanda,Polk,Summer,F,Rowing ,Women's Eight,none,"5'11""",185,8/2/86,Pittsburgh,40.4396,-79.9762,Pa.,PA
Emily,Regan,Summer,F,Rowing ,Women's Eight,none,"6'2""",178,6/10/88,Buffalo,42.9016,-78.8487,N.Y.,NY
Lauren,Schmetterling,Summer,F,Rowing ,Women's Eight,none,"5'11""",170,8/3/88,Moorestown-Lenola,39.9659,-74.9643,N.J.,NJ
Kerry,Simmonds,Summer,F,Rowing ,Women's Eight,none,"6'0""",180,4/3/89,San Diego,27.7609,-98.2389,Calif.,CA
Katelin,Snyder,Summer,F,Rowing ,Women's Eight,none,"5'4""",110,8/16/87,Orlando,28.4772,-81.3369,Fla. ,FL
Perry,Baker,Summer,M,Rugby,Wing,none,"6'1""",180,6/29/1986,Daytona Beach,29.1994,-81.0982,Fla. ,FL
Danny,Barrett,Summer,M,Rugby,Prop,none,"6'2""",225,3/23/1990,Pacifica,37.6112,-122.4781,Calif.,CA
Garrett,Bender,Summer,M,Rugby,Forward,none,"6'4""",230,12/2/1991,Minneapolis,39.1243,-97.6997,Minn.,MN
Andrew,Durutalo,Summer,M,Rugby,Prop,none,6'2,236,10/25/1987,San Diego,27.7609,-98.2389,Calif.,CA
Nate,Ebner,Summer,M,Rugby,Forward,none,"6'1""",215,12/14/1988,Columbus Grove,40.9205,-84.0598,Ohio,OH
Madison,Hughes,Summer,M,Rugby,Scrum Half,none,"5'8""",175,10/26/1992,Lancaster,40.0421,-76.3012,Mass.,MA
Carlin,Isles,Summer,M,Rugby,Wing,none,"5'8""",165,11/21/1989,Massillon,40.7838,-81.5254,Ohio,OH
Martin,Iosefo,Summer,M,Rugby,Center,none,"6'2""",220,1/13/1990,Wahiawa,21.5005,-158.0198,Hawaii,HI
Folau,Niua,Summer,M,Rugby,Fly-Half,none,"6'0""",196,1/27/1985,East Palo Alto,37.4671,-122.1352,Calif.,CA
Ben,Pinkelman,Summer,M,Rugby,Forward,none,"6'4""",220,6/13/1994,Centennial,39.5926,-104.8674,Colo.,CO
Zack,Test,Summer,M,Rugby,Hooker,none,"6'3""",205,10/13/1989,Redwood City,37.5026,-122.2252,Calif.,CA
Maka,Unufe,Summer,M,Rugby,Wing,none,"6'2""",205,9/28/1991,Provo,40.2457,-111.6457,Utah,UT
Chris,Wyles,Summer,M,Rugby,Center/Fullback/Wing,none,"6'0""",205,9/12/1983,Stamford,41.1035,-73.5583,Conn.,CT
Bui,Baravilala,Summer,F,Rugby,Full-back,none,"5'6""",165,7/12/1991,Honolulu,21.3294,-157.846,Hawaii,HI
Ryan,Carlyle,Summer,F,Rugby,Hooker,none,"5'6""",145,11/24/1989,West Nyack,41.0907,-73.9714,N.Y.,NY
Lauren,Doyle,Summer,F,Rugby,Wing / Full-Back,none,"5'6""",150,2/23/1991,Boody,39.7655,-89.0472,Ill.,IL
Carmen,Farmer,Summer,F,Rugby,Lock,none,"6'1""",180,12/4/1980,Richmond,37.5295,-77.4756,Va.,VA
Nana,Fa'avesi,Summer,F,Rugby,Prop,none,"5'6""",161,2/5/1992,Sacramento,38.5667,-121.4683,Calif.,CA
Victoria,Folayan,Summer,F,Rugby,Hooker,none,"5'5""",160,5/27/1985,Boston,42.3188,-71.0846,Mass.,MA
Kelly,Griffin,Summer,F,Rugby,Prop,none,"5'4""",150,11/7/1986,Berkeley,37.8723,-122.276,Calif.,CA
Jessica,Javelet,Summer,F,Rugby,Wing,none,"5'6""",140,6/25/1985,San Diego,27.7609,-98.2389,Calif.,CA
Kathryn,Johnson,Summer,F,Rugby,Center,none,"5'10""",153,10/25/1991,Hopkins,44.9261,-93.4056,Minn.,MN
Alev,Kelter,Summer,F,Rugby,Scrum Half,none,"5'6""",165,3/21/1991,Eagle River,45.9249,-89.2561,Alaska,AK
Jillion,Potter,Summer,F,Rugby,Prop,none,"5'10""",175,7/5/1986,Denver,39.7621,-104.8759,Colo.,CO
Richelle,Stephens,Summer,F,Rugby,Flyhalf,none,"5'6""",145,7/22/1996,Fallbrook,33.3693,-117.2259,Calif.,CA
Bora,Gulari,Summer,M,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'11""",165,10/22/75,Detroit,42.3834,-83.1024,Mich.,MI
Louisa,Chafee,Summer,F,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'5""",125,9/24/91,Warwick,41.7062,-71.4334,R.I.,RI
Thomas,Barrows III,Summer,M,Sailing,49er (Two-Person High Performance Skiff),2008 - U.S. Virgin Islands,"6'1""",181,11/2/87,"St. Thomas, Virgin Islands",#N/A,#N/A,-,#N/A
Joe,Morris,Summer,M,Sailing,49er (Two-Person High Performance Skiff),None,"5'10""",176,8/17/89,Annapolis,38.9706,-76.5047,Md. ,MD
Paris,Henken,Summer,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'6""",140,12/22/1995,Coronado,32.664,-117.16,Calif.,CA
Helena ,Scutt,Summer,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'7""",145,6/15/1992,Kirkland,47.6974,-122.2054,Wash.,WA
Charlie ,Buckingham,Summer,M,Sailing,Laser (One-Person Dinghy),none,"6'2""",180,1/16/89,Newport Beach,33.6151,-117.8669,Calif.,CA
Paige ,Railey,Summer,F,Sailing,Laser Radial (One-Person Dinghy),2012 ,"5'8""",147,5/15/1987,Clearwater,27.9789,-82.7622,Fla. ,FL
Caleb,Paine,Summer,M,Sailing,Finn (One-Person Heavyweight Dinghy),None,"6'3""",215,11/15/1990,San Diego,27.7609,-98.2389,Calif.,CA
Pedro,Pascual,Summer,M,Sailing,RS:X,none,"6'1""",154,3/15/96,Boca Raton,26.3752,-80.108,Fla. ,FL
Marion ,Lepert,Summer,F,Sailing,RS:X (Sail Board),none,"5'10""",135,9/18/95,Belmont,37.5154,-122.2955,Calif.,CA
Dave,Hughes,Summer,M,Sailing,470 (Two-Person Dinghy),none,"6'1""",157,1/22/78,Miami,25.7839,-80.2102,Fla. ,FL
Stu,McNay,Summer,M,Sailing,470 (Two-Person Dinghy),2008-13th; 2012-14th,"5'7""",145,8/1/81,Providence,41.823,-71.4187,R.I.,RI
Annie,Haeger,Summer,F,Sailing,470 (Two-Person Dinghy),none,"5'6""",128,2/5/90,East Troy,42.7848,-88.3973,Wis.,WI
Briana,Provancha ,Summer,F,Sailing,470 (Two-Person Dinghy),none,"5'7""",147,4/25/89,San Diego,27.7609,-98.2389,Calif.,CA
Will,Brown,Summer,M,Shooting,Air,none,"5'7""",135,12/31/91,Twin Falls,42.5645,-114.4615,Idaho,ID
Emil,Milev,Summer,M,Shooting,Rapid Fire,Bulgaria: 1992; 1996-S; 2000; 2004; USA: 2012,"5'10""",185,5/2/68,Brandon,27.9367,-82.3,Fla. ,FL
Keith,Sanderson,Summer,M,Shooting,Rapid Fire,2008-5th; 2012-14th,"6'0""",210,2/2/75,San Antonio,29.4658,-98.5253,Texas,TX
Jay,Shi,Summer,M,Shooting,"Free, Air",none,"5'8""",135,2/23/79,Phoenix ,#N/A,#N/A,Ariz.,AZ
Lydia,Paterson,Summer,F,Shooting,Air,none,"5'4""",153,10/17/96,Kansas City,39.1239,-94.5541,Kan.,KS
Enkelejda,Shehaj,Summer,F,Shooting,Sport,"Albania 1992-14th; 1996-15th, 21st","5'4""",126,1/23/69,Naples,26.1504,-81.7936,Fla. ,FL
Matt,Emmons,Summer,M,Shooting,Three-Position,2004-Gold; 2008-Silver; 2012-Bronze,"5'9""",185,4/5/81,Brown Mills,#N/A,#N/A,N.J.,NJ
David,Higgins,Summer,M,Shooting,Prone,none,"5'9""",150,6/27/94,San Clemente,33.4498,-117.6103,Calif.,CA
Lucas,Kozeniesky ,Summer,M,Shooting,Air,none,"5'11""",175,5/31/95,Fairfax,38.8531,-77.2998,Va.,VA
Daniel,Lowe,Summer,M,Shooting,Air,none,"6'0""",180,11/181992,Olympia,47.0417,-122.8959,Wash.,WA
Michael,McPhail,Summer,M,Shooting,Prone,2012-9th,"6'0""",195,12/15/81,Darlington,34.3015,-79.867,Wis.,WI
Sarah,Scherer,Summer,F,Shooting,Air,2012- 7th,"5'7""",137,2/12/91,Woburn,42.4869,-71.1543,Mass.,MA
Virginia,Thrasher,Summer,F,Shooting,"Air, Three-Position",none,"5'1""",120,2/28/97,Springfield,42.1155,-72.5395,Va.,VA
Glenn,Eller,Summer,M,Shooting,Double Trap,2000; 2004; 2008-Gold; 2012,"6'2""",180,1/6/82,Columbus,39.9862,-82.985,Ga.,GA
Vincent,Hancock,Summer,M,Shooting,Skeet,2008-Gold; 2012-Gold,"5'8""",175,3/19/89,Eatonton,33.3258,-83.3886,Ga.,GA
Josh,Richmond,Summer,M,Shooting,Double Trap,2012-16th,"6'2""",201,12/19/85,Hillsgrove,#N/A,#N/A,Pa.,PA
Frank,Thompson,Summer,M,Shooting,Skeet,2012-8th,"5'11""",174,3/11/88,Alliance,40.9107,-81.1189,Neb.,NE
Corey,Cogdell-Unrein,Summer,F,Shooting,Trap,2008-B; 2012,"5'8""",155,9/2/86,Eagle River,45.9249,-89.2561,Alaska,AK
Morgan,Craft,Summer,F,Shooting,Skeet,none,"5'3""",140,5/11/93,Muncy,41.2021,-76.7854,Pa.,PA
Kim,Rhode,Summer,F,Shooting,Skeet,1996-G; 2000-B; 2004-G; 2008-S; 2012-G,"5'4""",180,7/16/79,El Monte,34.0739,-118.0291,Calif.,CA
Morgan,Brian,Summer,F,Soccer,Midfield,none,"5'7""",127,2/26/93,Houston,29.7863,-95.3889,Texas,TX
Crystal,Dunn,Summer,F,Soccer,Midfield,none,"5'2""",123,7/3/92,Rockville Centre,40.6644,-73.6383,N.Y. ,NY
Whitney,Engen,Summer,F,Soccer,Defenseman,none,"5'7""",143,11/28/87,Rolling Hills Estates,33.7783,-118.3509,Calif.,CA
Tobin,Heath,Summer,F,Soccer,Midfield,2008-G; 2012-G,"5'6""",130,5/29/88,Basking Ridge,#N/A,#N/A,N.J.,NJ
Lindsey,Horan,Summer,F,Soccer,Forward,none,5'9',165,5/26/94,Golden,39.7406,-105.2118,Colo. ,CO
Julie,Johnston,Summer,F,Soccer,Defenseman,none,"5'7""",144,4/6/92,Mesa,33.4017,-111.718,Ariz.,AZ
Meghan,Klingenberg,Summer,F,Soccer,Defenseman,none,"5'2""",122,8/2/88,Pittsburgh,40.4396,-79.9762,Pa. ,PA
Ali,Krieger,Summer,F,Soccer,Defenseman,none,"5'6""",138,7/28/84,Dumfries,38.567,-77.3233,Va.,VA
Carli,Lloyd,Summer,F,Soccer,Midfield,2008-G; 2012-G,"5'7""",140,7/16/82,Delran,#N/A,#N/A,N.J. ,NJ
Allie,Long,Summer,F,Soccer,Midfield,none,"5'8""",140,8/13/87,Northport,33.2589,-87.5984,N.Y. ,NY
Alex,Morgan,Summer,F,Soccer,Forward,2012-G,"5'8""",137,7/2/89,Diamond Bar,33.9991,-117.8161,Calif. ,CA
Alyssa,Naeher,Summer,F,Soccer,Goalkeeper,none,"5'9""",152,4/20/88,Seymour,38.9476,-85.891,Conn. ,CT
Kelley,O'Hara,Summer,F,Soccer,Defenseman,2012-G,"5'5""",127,8/4/88,Fayetteville,36.0713,-94.166,Ga. ,GA
Christen,Press,Summer,F,Soccer,Forward,none,"5'6""",135,12/29/88,Palos Verdes Estates,33.7871,-118.3976,Calif.,CA
Mallory,Pugh,Summer,F,Soccer,Forward,none,"5'4""",120,4/29/98,Highlands Ranch,39.5419,-104.9708,Colo.,CO
Megan,Rapinoe,Summer,F,Soccer,Midfield,2012-G,"5'6""",133,7/5/85,Redding,40.5698,-122.365,Calif.,CA
Becky,Sauerbrunn,Summer,F,Soccer,Defenseman,2012-G,"5'7""",140,6/6/85,St. Louis,38.6358,-90.2451,Mo. ,MO
Hope,Solo,Summer,F,Soccer,Goalkeeper,2008-G; 2012-G,"5'9""",148,7/30/81,Richland,46.2824,-119.2938,Wash. ,WA
Nathan,Adrian,Summer,M,Swimming,"50m Free, 100m Free, 4x100 Free","2008-G; 2012-2G, S","6'6""",220,12/7/88,Bremerton,47.5436,-122.7122,Wash.,WA
Gunnar,Bentz,Summer,M,Swimming,4x200m Free,none,"6'5""",185,1/3/96,Atlanta,33.1136,-94.1672,Ga.,GA
Jack,Conger,Summer,M,Swimming,4x200m Free,none,"6'4""",175,9/26/94,Rockville,41.8667,-72.4528,Md. ,MD
Kevin,Cordes,Summer,M,Swimming,"100m Breast, 200m Breast",none,"6'5""",193,8/13/93,Naperville,41.7483,-88.1657,Ill.,IL
Caeleb,Dressel,Summer,M,Swimming,"100m Free, 4x100m Free",none,"6'3""",190,8/16/96,Orange Park,30.1706,-81.7041,Fla. ,FL
Conor,Dwyer,Summer,M,Swimming,"200m Free, 400m Free, 4x200m Free",2012-G,"6'5""",195,1/10/89,Winnetka,42.1064,-87.7421,Ill.,IL
Anthony,Ervin,Summer,M,Swimming,"50m Free, 4x100m Free","2000-G,S; 2012","6'3""",177,5/26/81,Valencia,34.8053,-106.6869,Calif. ,CA
Jimmy,Feigen,Summer,M,Swimming,4x100m Free,2012-S,"6'5""",216,9/26/89,San Antonio,29.4658,-98.5253,Texas,TX
Townley,Haas,Summer,M,Swimming,"200m Free, 4x200m Free",none,"6'5""",185,12/13/1996  ,Henrico,#N/A,#N/A,Va.,VA
Ryan,Held,Summer,M,Swimming,4x100m Free,none,,,6/27/95,Springfield,42.1155,-72.5395,Ill.,IL
Connor,Jaeger,Summer,M,Swimming,"400m Free, 1,500m Free",2012-6th,"6'1""",170,4/30/91,Fair Haven,40.3619,-74.0392,N.J. ,NJ
Chase,Kalisz,Summer,M,Swimming,400m IM,none,"6'4""",190,3/7/94,Bel Air,39.5348,-76.346,Md. ,MD
Jay,Litherland,Summer,M,Swimming,400m IM,none,"6'0""",175,8/24/1995 ,Greensboro,36.0956,-79.8269,Ga. ,GA
Ryan,Lochte,Summer,M,Swimming,"200m IM, 4x200 Free","2004-G,S; 2008-2G,2B; 2G,2S,B","6'2""",194,8/3/84,Daytona Beach,29.1994,-81.0982,Fla. ,FL
Cody,Miller,Summer,M,Swimming,100m Breast,none,"5'11""",175,1/9/92,Las Vegas,36.2333,-115.2654,Nev. ,NV
Ryan,Murphy,Summer,M,Swimming,"100m Back, 200m Back",none,"6'3""",200,7/2/95,Ponte Vedra Beach,#N/A,#N/A,Fla. ,FL
Jacob,Pebley,Summer,M,Swimming,200m Back,none,"6'4""",190,9/17/93,Corvallis,44.5697,-123.278,Ore.,OR
Michael,Phelps,Summer,M,Swimming,"100m Fly, 200m Fly, 200m IM","2000; 2004-6G, 2B; 2008-8G; 2012-4G,2S","6'4""",200,6/30/85,Baltimore,39.3051,-76.6144,Md. ,MD
Blake,Pieroni,Summer,M,Swimming,4x100 Free,none,"6'2""",190,11/15/1995  ,Valparaiso,41.4782,-87.0507,Ind.,IN
David,Plummer,Summer,M,Swimming,100m Back,none,"6'3""",210,10/9/85,Minneapolis,39.1243,-97.6997,Minn. ,MN
Josh,Prenot,Summer,M,Swimming,200m Breast,none,"5'11""",167,7/28/93,Berkeley,37.8723,-122.276,Calif. ,CA
Tom,Shields,Summer,M,Swimming,200m Fly,none,"6'4""",190,7/11/91,Huntington Beach,33.696,-118.0025,Calif.,CA
Clark,Smith,Summer,M,Swimming,4x200m Free,none,"6'9""",198,4/17/1995 ,Denver,39.7621,-104.8759,Colo. ,CO
Cammile,Adams,Summer,F,Swimming,200m Fly,2012,"5'8""",143,9/11/91,Houston,29.7863,-95.3889,Texas,TX
Kathleen,Baker,Summer,F,Swimming,100m Back,none,"5'8""",149,2/28/97,Winston-Salem,36.1029,-80.2611,N.C. ,NC
Elizabeth,Beisel,Summer,F,Swimming,400m IM,"2008; 2012-S,B","5'6""",146,8/18/92,Saunderstown,#N/A,#N/A,R.I.,RI
Maya,DiRado,Summer,F,Swimming,"200m Back, 200m IM, 400m IM",none,"5'9""",143,4/5/93,Santa Rosa,38.4458,-122.7067,Calif.,CA
Hali,Flickinger,Summer,F,Swimming,200m Fly,none,"5'5""",115,7/7/94,Spring Grove,42.4543,-88.2402,Pa. ,PA
Missy,Franklin,Summer,F,Swimming,"200m Back, 200m Free, 4x200m Free","2012-4G, 1B","6'2""",170,5/10/95,Centennial,39.5926,-104.8674,Colo. ,CO
Molly,Hannis,Summer,F,Swimming,200m Breast,none,"5'6""",155,3/13/92,Santa Rosa,38.4458,-122.7067,Calif. ,CA
Lilly,King,Summer,F,Swimming,"100m Breast, 200m Breast",none,"5'9""",155,2/10/1997 ,Evansville,37.9881,-87.5341,Ind. ,IN
Katie,Ledecky,Summer,F,Swimming,"200m Free, 400m Free, 800m Free, 4x200m Free",2012-G,"6'0""",160,3/17/97,Bethesda,38.9866,-77.1188,Md. ,MD
Simone,Manuel,Summer,F,Swimming,"50m Free, 100m Free, 4x100 Free",none,"5'10""",160,8/2/96,Sugar Land,29.5935,-95.6357,Texas,TX
Melanie,Margalis,Summer,F,Swimming,"200 IM, 4x200 Free",none,"5'8""",144,12/30/91,Clearwater,27.9789,-82.7622,Fla. ,FL
Katie,Meili,Summer,F,Swimming,100m Breast,none,"5'7""",135,4/16/1991 ,Colleyville,32.8913,-97.1486,Texas,TX
Lia,Neal,Summer,F,Swimming,4x100m Free,2012 - B,"5'10""",165,2/13/95,Brooklyn,40.6501,-73.9496,N.Y.,NY
Cierra,Runge,Summer,M,Swimming,4x200m Free,none,"6'4""",187,3/7/1996  ,Cochranville,39.8905,-75.9241,Pa.,PA
